## Complete genomes: Viruses (taxid 10239) filtered by host 'bacteria'
"Genome"	"Accession"	"Source information"	"Number of segments"	"Genome length"	"Number of proteins"	"Genome Neighbors"	"Host"	"Date completed"	"Date updated"
Cellulophaga phage phi17:1	NC_021795	strain:phi17:1	-	38776 nt	65	-	bacteria	07/23/2013	01/05/2016	
Cellulophaga phage phi17:2	NC_021798	strain:phi17:2	-	145343 nt	198	1	bacteria	07/23/2013	01/05/2016	
Cellulophaga phage phi18:1	NC_021790	strain:phi18:1	-	39189 nt	65	1	bacteria	07/23/2013	01/05/2016	
Cellulophaga phage phi18:3	NC_021794	strain:phi18:3	-	71443 nt	123	-	bacteria	07/23/2013	01/05/2016	
Cellulophaga phage phi19:1	NC_021799	strain:phi19:1	-	57447 nt	114	-	bacteria	07/23/2013	01/05/2016	
Cellulophaga phage phi19:3	NC_021789	strain:phi19:3	-	75994 nt	129	-	bacteria	07/23/2013	01/05/2016	
Cellulophaga phage phi38:1	NC_021796	strain:phi38:1	-	72534 nt	101	1	bacteria	07/23/2013	01/05/2016	
Cellulophaga phage phi39:1	NC_021804	strain:phi39:1	-	28760 nt	48	-	bacteria	07/23/2013	01/05/2016	
Cellulophaga phage phi46:1	NC_021800	strain:phi46:1	-	34844 nt	54	-	bacteria	07/23/2013	01/05/2016	
Cellulophaga phage phi46:3	NC_021792	strain:phi46:3	-	72961 nt	121	-	bacteria	07/23/2013	01/05/2016	
Cellulophaga phage phi48:2	NC_021793	strain:phi48:2	-	11703 nt	29	-	bacteria	07/23/2013	01/05/2016	
Cellulophaga phage phi4:1	NC_021788	strain:phi4:1	-	145865 nt	197	2	bacteria	07/23/2013	01/05/2016	
Cellulophaga phage phiSM	NC_020860	strain:phiSM	-	44557 nt	59	5	bacteria	03/30/2013	03/30/2013	
Cellulophaga phage phiST	NC_020842	strain:phiST	-	79114 nt	104	3	bacteria	03/30/2013	03/30/2013	
Chimpanzee faeces associated microphage 1	NC_030472	isolate:CPNG_29298	-	4851 nt	4	-	bacteria	07/14/2016	07/14/2016	
Chimpanzee faeces associated microphage 2	NC_030476	isolate:CPNG_29299	-	5184 nt	5	-	bacteria	07/12/2016	07/12/2016	
Chimpanzee faeces associated microphage 3	NC_030458	isolate:CPNG_29300	-	5016 nt	4	-	bacteria	07/14/2016	07/14/2016	
Chlamydia phage 2	NC_002194	-	-	4563 nt	8	1	bacteria	04/01/2000	03/28/2016	
Chlamydia phage 3	NC_008355	-	-	4554 nt	8	-	bacteria	05/24/2004	05/28/2009	
Chlamydia phage 4	NC_007461	-	-	4530 nt	8	-	bacteria	10/05/2005	07/18/2011	
Chlamydia virus CPAR39	-	-	2	9064 nt	12	-	bacteria	02/29/2000	02/14/2014	
          Chlamydia virus CPAR39     (4532 nt)     NC_002180     proteins: 6
          Chlamydia virus CPAR39     (4532 nt)     NC_002180     proteins: 6
Chlamydia virus Chp1	NC_001741	-	-	4877 nt	12	-	bacteria	04/28/1993	02/10/2015	
Citrobacter phage CR44b	NC_023576	-	-	39207 nt	57	-	bacteria	01/30/2014	07/31/2014	
Citrobacter phage CR8	NC_023548	-	-	39651 nt	57	-	bacteria	01/30/2014	06/26/2014	
Citrobacter phage CVT22	NC_027988	-	-	47636 nt	83	-	bacteria	10/07/2015	10/04/2017	
Citrobacter phage IME-CF2	NC_029013	-	-	177688 nt	263	-	bacteria	01/05/2016	01/05/2016	
Citrobacter phage Margaery	NC_028755	-	-	178182 nt	280	-	bacteria	01/05/2016	01/05/2016	
Citrobacter phage Merlin	NC_028857	-	-	172733 nt	303	-	bacteria	01/05/2016	01/05/2016	
Citrobacter phage Michonne	NC_028247	-	-	90000 nt	143	-	bacteria	12/27/2015	11/08/2016	
Citrobacter phage Miller	NC_025414	-	-	178171 nt	277	-	bacteria	11/10/2014	05/03/2015	
Citrobacter phage Moogle	NC_027293	-	-	87999 nt	126	-	bacteria	06/19/2015	06/19/2015	
Citrobacter phage Moon	NC_027331	-	-	170341 nt	298	-	bacteria	06/24/2015	06/24/2015	
Citrobacter phage SH1	NC_031066	-	-	39434 nt	53	-	bacteria	09/23/2016	09/23/2016	
Citrobacter phage SH2	NC_031092	-	-	39158 nt	53	-	bacteria	09/23/2016	09/23/2016	
Citrobacter phage SH3	NC_031123	-	-	39444 nt	49	-	bacteria	09/23/2016	09/23/2016	
Citrobacter phage SH4	NC_031018	-	-	39274 nt	49	1	bacteria	09/23/2016	09/23/2016	
Citrobacter phage phiCFP-1	NC_028880	-	-	38625 nt	43	-	bacteria	01/05/2016	01/05/2016	
Citrobacter phage vB_CfrM_CfP1	NC_031057	-	-	180219 nt	273	-	bacteria	09/23/2016	09/23/2016	
Citrobacter virus Stevie	NC_027350	-	-	49816 nt	90	-	bacteria	06/24/2015	08/18/2015	
Clavibacter phage CMP1	NC_013698	-	-	58652 nt	74	-	bacteria	12/30/2009	12/08/2010	
Clavibacter phage CN1A	NC_023549	-	-	56789 nt	78	-	bacteria	03/04/2014	07/08/2014	
Clostridium phage CDMH1	NC_024144	-	-	54279 nt	84	-	bacteria	03/31/2014	05/27/2014	
Clostridium phage PhiS63	NC_017978	-	-	33609 nt	43	-	bacteria	05/29/2012	05/29/2012	
Clostridium phage c-st	NC_007581	-	-	185683 nt	198	-	bacteria	11/04/2005	12/22/2010	
Clostridium phage phi24R	NC_019523	isolate:phi24R	-	18919 nt	22	-	bacteria	11/21/2012	11/21/2012	
Clostridium phage phi3626	NC_003524	-	-	33507 nt	50	-	bacteria	04/02/2002	07/10/2008	
Clostridium phage phi8074-B1	NC_019924	-	-	47595 nt	82	-	bacteria	12/19/2012	12/19/2012	
Clostridium phage phiCD111	NC_028905	-	-	41560 nt	55	-	bacteria	12/11/2014	01/07/2016	
Clostridium phage phiCD146	NC_028958	-	-	41507 nt	52	-	bacteria	12/11/2014	01/07/2016	
Clostridium phage phiCD211	NC_029048	-	-	131704 nt	190	1	bacteria	12/11/2014	11/30/2017	
Clostridium phage phiCD38-2	NC_015568	-	-	41090 nt	55	-	bacteria	05/23/2011	05/23/2011	
Clostridium phage phiCD481-1	NC_028951	-	-	32846 nt	54	-	bacteria	12/11/2014	01/07/2016	
Clostridium phage phiCD505	NC_028764	-	-	49316 nt	76	-	bacteria	12/11/2014	01/07/2016	
Clostridium phage phiCD506	NC_028838	-	-	33274 nt	53	-	bacteria	12/11/2014	01/07/2016	
Clostridium phage phiCD6356	NC_015262	-	-	37664 nt	59	-	bacteria	03/21/2011	03/21/2011	
Clostridium phage phiCDHM11	NC_029001	-	-	32000 nt	49	-	bacteria	08/20/2015	01/06/2016	
Clostridium phage phiCDHM13	NC_029116	-	-	33596 nt	50	-	bacteria	09/11/2014	02/06/2016	
Clostridium phage phiCDHM19	NC_028996	-	-	54295 nt	88	-	bacteria	09/11/2014	01/06/2016	
Clostridium phage phiCP13O	NC_019506	-	-	38329 nt	55	-	bacteria	11/21/2012	11/21/2012	
Clostridium phage phiCP26F	NC_019496	strain:CP26F	-	39188 nt	49	1	bacteria	11/21/2012	11/21/2012	
Clostridium phage phiCP34O	NC_019508	-	-	38309 nt	52	-	bacteria	11/21/2012	11/21/2012	
Clostridium phage phiCP39-O	NC_011318	-	-	38753 nt	62	-	bacteria	10/02/2008	02/04/2011	
Clostridium phage phiCP7R	NC_017980	isolate:phiCP24R	-	18397 nt	26	-	bacteria	05/31/2012	05/31/2012	
Clostridium phage phiCPV4	NC_018083	isolate:phiCPV4	-	17972 nt	28	-	bacteria	06/27/2012	06/27/2012	
Clostridium phage phiCT19406A	NC_030950	-	-	47020 nt	67	-	bacteria	09/19/2016	09/19/2016	
Clostridium phage phiCT19406B	NC_030947	-	-	38243 nt	66	-	bacteria	09/19/2016	09/19/2016	
Clostridium phage phiCT19406C	NC_029006	-	-	35703 nt	63	-	bacteria	01/05/2016	01/05/2016	
Clostridium phage phiCT453A	NC_028991	-	-	42158 nt	62	-	bacteria	01/05/2016	01/05/2016	
Clostridium phage phiCT453B	NC_029004	-	-	36712 nt	61	-	bacteria	01/05/2016	01/05/2016	
Clostridium phage phiCT9441A	NC_029022	-	-	46895 nt	77	-	bacteria	01/05/2016	01/05/2016	
Clostridium phage phiCTC2A	NC_030949	-	-	47020 nt	67	-	bacteria	09/19/2016	09/19/2016	
Clostridium phage phiCTC2B	NC_030951	-	-	38243 nt	66	-	bacteria	09/19/2016	09/22/2016	
Clostridium phage phiCTP1	NC_014457	-	-	59199 nt	86	-	bacteria	08/20/2010	08/20/2010	
Clostridium phage phiMMP01	NC_028883	-	-	44461 nt	81	-	bacteria	12/11/2014	01/07/2016	
Clostridium phage phiMMP02	NC_019421	-	-	48396 nt	76	-	bacteria	11/13/2012	11/13/2012	
Clostridium phage phiMMP03	NC_028959	-	-	52261 nt	93	-	bacteria	12/11/2014	01/07/2016	
Clostridium phage phiMMP04	NC_019422	-	-	31674 nt	51	-	bacteria	11/13/2012	11/13/2012	
Clostridium phage phiSM101	-	-	2	76184 nt	106	-	bacteria	07/28/2006	02/04/2014	
          Clostridium phage phiSM101     (38092 nt)     NC_008265     proteins: 53
          Clostridium phage phiSM101     (38092 nt)     NC_008265     proteins: 53
Clostridium phage phiZP2	NC_018084	isolate:phiZP2	-	18078 nt	27	-	bacteria	06/27/2012	06/27/2012	
Clostridium phage vB_CpeS-CP51	NC_021325	-	-	39108 nt	50	-	bacteria	06/03/2013	08/30/2013	
Clostridium virus phiC2	NC_009231	-	-	56538 nt	82	-	bacteria	03/30/2007	11/21/2007	
Clostridium virus phiCD119	NC_007917	-	-	53325 nt	79	-	bacteria	03/27/2006	12/19/2007	
Clostridium virus phiCD27	NC_011398	-	-	50930 nt	75	-	bacteria	10/22/2008	11/04/2008	
Colwellia phage 9A	NC_018088	strain:9A	-	104936 nt	149	-	bacteria	06/27/2012	08/22/2013	
Corynebacterium phage BFK20	NC_009799	-	-	42972 nt	54	-	bacteria	06/06/2000	10/05/2017	
Corynebacterium phage P1201	NC_009816	-	-	70579 nt	97	-	bacteria	09/18/2007	09/04/2008	
Croceibacter phage P2559S	NC_018276	-	-	44988 nt	68	-	bacteria	08/06/2012	08/06/2012	
Croceibacter phage P2559Y	NC_023614	-	-	43153 nt	51	-	bacteria	03/04/2014	06/10/2016	
Cronobacter phage CR3	NC_017974	-	-	149273 nt	265	-	bacteria	05/31/2012	05/31/2012	
Cronobacter phage CR5	NC_021531	-	-	223989 nt	231	-	bacteria	06/20/2013	06/30/2016	
Cronobacter phage CR8	NC_024354	-	-	149162 nt	269	-	bacteria	06/24/2014	06/24/2014	
Cronobacter phage CR9	NC_023717	-	-	151924 nt	281	-	bacteria	03/11/2014	03/11/2014	
Cronobacter phage Dev-CD-23823	NC_029070	-	-	41620 nt	48	-	bacteria	09/14/2015	02/05/2016	
Cronobacter phage Dev2	NC_023558	-	-	38966 nt	45	-	bacteria	01/28/2014	02/06/2016	
Cronobacter phage ENT39118	NC_019934	strain:ENT39118	-	39012 nt	38	-	bacteria	12/19/2012	12/19/2012	
Cronobacter phage ENT47670	NC_019927	strain:ENT47670	-	47611 nt	46	-	bacteria	12/19/2012	12/19/2012	
Cronobacter phage PBES 02	NC_028672	-	-	149732 nt	270	-	bacteria	12/17/2015	12/17/2015	
Cronobacter phage S13	NC_028773	-	-	182145 nt	268	-	bacteria	01/05/2016	06/30/2016	
Cronobacter phage phiES15	NC_018454	-	-	39974 nt	52	-	bacteria	08/21/2012	08/21/2012	
Cronobacter phage vB_CsaM_GAP161	NC_019398	-	-	178193 nt	275	-	bacteria	11/13/2012	11/21/2012	
Cronobacter phage vB_CsaM_GAP31	NC_019400	-	-	147940 nt	269	-	bacteria	11/13/2012	11/21/2012	
Cronobacter phage vB_CsaM_GAP32	NC_019401	strain:GAP-32	-	358663 nt	545	-	bacteria	11/13/2012	07/09/2014	
Cronobacter phage vB_CsaP_GAP52	NC_019402	strain:vB_CsaP_GAP-52	-	76631 nt	115	-	bacteria	11/13/2012	11/13/2012	
Cronobacter phage vB_CskP_GAP227	NC_020078	-	-	41796 nt	49	-	bacteria	02/05/2013	03/12/2013	
Cronobacter virus Esp2949-1	NC_019509	-	-	49116 nt	45	-	bacteria	11/21/2012	11/21/2012	
Cyanophage 9515-10a	NC_016657	strain:9515-10a	-	47055 nt	55	1	bacteria	01/13/2012	07/26/2016	
Cyanophage KBS-P-1A	NC_020865	strain:KBS-P-1A	-	45730 nt	57	-	bacteria	03/30/2013	03/30/2013	
Cyanophage KBS-S-2A	NC_020854	strain:KBS-S-2A	-	40658 nt	64	-	bacteria	03/30/2013	08/30/2013	
Cyanophage MED4-117	NC_020857	strain:MED4-117	-	38834 nt	63	-	bacteria	03/30/2013	03/30/2013	
Cyanophage NATL1A-7	NC_016658	strain:NATL1A-7	-	47741 nt	65	-	bacteria	01/13/2012	07/17/2012	
Cyanophage NATL2A-133	NC_016659	strain:NATL2A-133	-	47536 nt	62	-	bacteria	01/13/2012	07/19/2012	
Cyanophage P-RSM1	NC_021071	strain:P-RSM1	-	177211 nt	212	-	bacteria	04/19/2013	04/19/2013	
Cyanophage P-RSM6	NC_020855	strain:P-RSM6	-	192497 nt	221	-	bacteria	03/30/2013	03/30/2013	
Cyanophage P-SSP2	NC_016656	strain:Syn26	-	45890 nt	56	-	bacteria	01/13/2012	04/16/2014	
Cyanophage P-TIM40	NC_028663	-	-	188632 nt	235	-	bacteria	12/17/2015	12/17/2015	
Cyanophage PP	NC_022751	-	-	42480 nt	41	-	bacteria	11/06/2013	11/06/2013	
Cyanophage PSS2	NC_013021	isolate:PSS2	-	107530 nt	131	-	bacteria	07/27/2009	11/23/2009	
Cyanophage S-RIM32	NC_031235	isolate:RW_108_0702	-	194437 nt	230	-	bacteria	09/27/2016	09/27/2016	
Cyanophage S-RIM50	NC_031242	isolate:RW_29_0704	-	174307 nt	227	-	bacteria	09/27/2016	09/27/2016	
Cyanophage S-TIM5	NC_019516	-	-	161440 nt	180	-	bacteria	11/21/2012	11/21/2012	
Cyanophage SS120-1	NC_020872	strain:P-SSP9	-	46997 nt	52	-	bacteria	03/30/2013	03/30/2013	
Cyanophage Syn30	NC_021072	strain:Syn30	-	178807 nt	209	-	bacteria	04/19/2013	04/19/2013	
Deep-sea thermophilic phage D6E	NC_019544	isolate:D6E	-	49335 nt	49	-	bacteria	11/21/2012	11/21/2012	
Deftia phage phiW-14	NC_013697	-	-	157486 nt	236	-	bacteria	12/30/2009	01/08/2010	
Delftia phage IME-DE1	NC_028702	-	-	38084 nt	48	-	bacteria	12/17/2015	12/17/2015	
Delftia phage RG-2014	NC_027348	-	-	73882 nt	88	-	bacteria	06/24/2015	06/09/2017	
Dickeya phage RC-2014	NC_025452	-	-	155346 nt	196	-	bacteria	11/10/2014	11/10/2014	
Dickeya virus Limestone	NC_019925	-	-	152427 nt	201	1	bacteria	04/12/2012	01/27/2016	
Dinoroseobacter phage DFL12phi1	NC_024367	-	-	75028 nt	86	1	bacteria	06/24/2014	06/24/2014	
Edwardsiella phage GF-2	NC_026611	-	-	43129 nt	82	-	bacteria	03/04/2015	06/10/2016	
Edwardsiella phage KF-1	NC_019420	-	-	41549 nt	48	1	bacteria	11/13/2012	04/25/2013	
Edwardsiella phage MSW-3	NC_020082	-	-	42746 nt	66	-	bacteria	02/05/2013	04/25/2013	
Edwardsiella phage PEi20	NC_028683	-	-	177643 nt	301	-	bacteria	12/17/2015	12/27/2015	
Edwardsiella phage PEi21	NC_021342	-	-	43378 nt	71	-	bacteria	06/03/2013	06/11/2014	
Edwardsiella phage eiAU-183	NC_023555	-	-	43017 nt	54	1	bacteria	03/04/2014	03/04/2014	
Eel River basin pequenovirus	NC_026665	isolate:c22476	-	6083 nt	9	20	bacteria	03/18/2015	03/18/2015	
Enterobacter phage Arya	NC_031048	-	-	41918 nt	61	-	bacteria	09/23/2016	12/12/2017	
Enterobacter phage CC31	NC_014662	-	-	165540 nt	279	-	bacteria	11/12/2010	11/12/2010	
Enterobacter phage E-2	NC_029102	-	-	36051 nt	41	-	bacteria	02/05/2016	02/05/2016	
Enterobacter phage E-3	NC_028795	-	-	31522 nt	36	-	bacteria	01/05/2016	01/05/2016	
Enterobacter phage EcP1	NC_019485	-	-	59080 nt	77	-	bacteria	11/16/2012	11/16/2012	
Enterobacter phage Enc34	NC_019524	-	-	60364 nt	80	-	bacteria	11/21/2012	11/21/2012	
Enterobacter phage PG7	NC_023561	-	-	173276 nt	294	-	bacteria	03/04/2014	03/04/2014	
Enterobacter phage Tyrion	NC_031077	-	-	41760 nt	56	-	bacteria	09/23/2016	12/18/2017	
Enterobacter phage phiEap-1	NC_028772	-	-	39133 nt	42	-	bacteria	01/05/2016	01/05/2016	
Enterobacter phage phiEap-2	NC_028695	-	-	40491 nt	62	-	bacteria	12/17/2015	06/30/2016	
Enterobacteria phage 13a	NC_011045	-	-	38841 nt	55	-	bacteria	07/11/2008	07/18/2012	
Enterobacteria phage 285P	NC_015249	-	-	39270 nt	47	-	bacteria	03/21/2011	04/29/2011	
Enterobacteria phage 933W	NC_000924	-	-	61670 nt	80	2	bacteria	04/16/1999	04/17/2009	
Enterobacteria phage 9g	NC_024146	-	-	56702 nt	71	-	bacteria	05/27/2014	05/27/2014	
Enterobacteria phage BA14	NC_011040	-	-	39816 nt	52	-	bacteria	07/11/2008	04/17/2009	
Enterobacteria phage BP-4795	NC_004813	-	-	57930 nt	85	-	bacteria	05/23/2003	04/17/2009	
Enterobacteria phage Bp7	NC_019500	-	-	168066 nt	263	-	bacteria	11/21/2012	11/21/2012	
Enterobacteria phage C-1 INW-2012	NC_019920	-	-	3523 nt	4	-	bacteria	12/19/2012	12/19/2012	
Enterobacteria phage ES18	NC_006949	-	-	46900 nt	79	-	bacteria	04/07/2005	05/06/2009	
Enterobacteria phage EcoDS1	NC_011042	-	-	39252 nt	53	-	bacteria	07/11/2008	07/18/2012	
Enterobacteria phage FI sensu lato	NC_004301	strain:Enterobacteria phage SP	-	4276 nt	4	-	bacteria	12/01/1988	02/10/2015	
Enterobacteria phage G4 sensu lato	NC_001420	-	-	5577 nt	11	352	bacteria	04/28/1993	02/10/2015	
Enterobacteria phage GEC-3S	NC_025425	-	-	163424 nt	277	-	bacteria	08/15/2014	02/06/2015	
Enterobacteria phage HK106	NC_019768	-	-	41468 nt	65	-	bacteria	12/07/2012	12/07/2012	
Enterobacteria phage HK140	NC_019710	-	-	40710 nt	71	-	bacteria	12/07/2012	12/07/2012	
Enterobacteria phage HK225	NC_019717	-	-	45366 nt	69	-	bacteria	12/07/2012	12/07/2012	
Enterobacteria phage HK446	NC_019714	-	-	39026 nt	60	-	bacteria	12/07/2012	12/07/2012	
Enterobacteria phage HK542	NC_019769	-	-	38964 nt	57	-	bacteria	12/07/2012	12/07/2012	
Enterobacteria phage HK544	NC_019767	-	-	40155 nt	63	-	bacteria	12/07/2012	12/07/2012	
Enterobacteria phage HK629	NC_019711	-	-	47288 nt	69	-	bacteria	12/07/2012	12/07/2012	
Enterobacteria phage HK630	NC_019723	-	-	47090 nt	69	-	bacteria	12/07/2012	12/07/2012	
Enterobacteria phage HK633	NC_019719	-	-	41528 nt	67	-	bacteria	12/07/2012	12/07/2012	
Enterobacteria phage Hgal1	NC_019922	-	-	3562 nt	4	-	bacteria	12/19/2012	12/19/2012	
Enterobacteria phage ID18 sensu lato	NC_007856	-	-	5486 nt	11	352	bacteria	03/16/2006	02/10/2015	
Enterobacteria phage ID2 Moscow/ID/2001	NC_007817	-	-	5486 nt	11	2	bacteria	03/16/2006	04/17/2009	
Enterobacteria phage IME08	NC_014260	-	-	172253 nt	253	-	bacteria	06/28/2010	12/15/2011	
Enterobacteria phage IME10	NC_019501	-	-	39646 nt	27	1	bacteria	11/21/2012	11/21/2012	
Enterobacteria phage If1	NC_001954	-	-	8454 nt	10	-	bacteria	10/01/1993	02/10/2015	
Enterobacteria phage Ike	NC_002014	-	-	6883 nt	10	-	bacteria	01/28/1986	02/10/2015	
Enterobacteria phage J8-65	NC_025445	-	-	40981 nt	47	-	bacteria	11/25/2014	11/25/2014	
Enterobacteria phage JS10	NC_012741	-	-	171451 nt	265	-	bacteria	06/01/2009	03/26/2010	
Enterobacteria phage JenK1	NC_029021	-	-	60747 nt	86	-	bacteria	01/05/2016	01/05/2016	
Enterobacteria phage JenP1	NC_029028	-	-	60754 nt	87	-	bacteria	01/05/2016	01/05/2016	
Enterobacteria phage JenP2	NC_028997	-	-	59802 nt	87	-	bacteria	01/05/2016	01/05/2016	
Enterobacteria phage K1F	NC_007456	-	-	39704 nt	43	1	bacteria	10/05/2005	02/10/2015	
Enterobacteria phage M	NC_019707	-	-	3405 nt	4	-	bacteria	12/07/2012	12/07/2012	
Enterobacteria phage P4	NC_001609	-	-	11624 nt	14	-	bacteria	04/17/1990	02/10/2015	
Enterobacteria phage P88	NC_026014	-	-	35814 nt	53	-	bacteria	01/07/2015	01/07/2015	
Enterobacteria phage Phi1	NC_009821	-	-	164270 nt	276	-	bacteria	09/18/2007	08/04/2011	
Enterobacteria phage RB27	NC_025448	-	-	165179 nt	271	-	bacteria	11/10/2014	01/30/2015	
Enterobacteria phage RB49	NC_005066	-	-	164018 nt	279	-	bacteria	08/13/2003	03/26/2010	
Enterobacteria phage RB51	NC_012635	-	-	168394 nt	273	-	bacteria	04/30/2009	03/26/2010	
Enterobacteria phage RB68	NC_027979	-	-	168401 nt	276	-	bacteria	10/07/2015	10/07/2015	
Enterobacteria phage RB69	NC_004928	-	-	167560 nt	273	-	bacteria	07/07/2003	03/26/2010	
Enterobacteria phage ST104	NC_005841	-	-	41391 nt	63	-	bacteria	04/12/2004	07/26/2016	
Enterobacteria phage Sf101	NC_027398	-	-	38742 nt	66	-	bacteria	06/24/2015	06/24/2015	
Enterobacteria phage SfI	NC_027339	-	-	38389 nt	65	-	bacteria	06/24/2015	06/24/2015	
Enterobacteria phage SfV	NC_003444	-	-	37074 nt	53	-	bacteria	10/04/1997	02/10/2015	
Enterobacteria phage St-1	NC_012868	-	-	6094 nt	11	-	bacteria	06/30/2009	03/26/2010	
Enterobacteria phage T3	NC_003298	strain:Luria	-	38208 nt	55	2	bacteria	12/04/2001	02/10/2015	
Enterobacteria phage T7	NC_001604	-	-	39937 nt	60	6	bacteria	11/03/1982	02/10/2015	
Enterobacteria phage UAB_Phi20	NC_031019	-	-	41809 nt	80	-	bacteria	09/23/2016	09/23/2016	
Enterobacteria phage UAB_Phi78	NC_020414	-	-	43931 nt	58	-	bacteria	02/28/2013	02/28/2013	
Enterobacteria phage VT2-Sakai	NC_000902	-	-	60942 nt	83	21	bacteria	09/15/1999	08/27/2013	
Enterobacteria phage VT2phi_272	NC_028656	-	-	65955 nt	83	-	bacteria	12/17/2015	12/17/2015	
Enterobacteria phage WA13 sensu lato	NC_007821	-	-	6068 nt	10	1	bacteria	03/16/2006	02/10/2015	
Enterobacteria phage YYZ-2008	NC_011356	-	-	54896 nt	75	-	bacteria	10/14/2008	03/26/2010	
Enterobacteria phage alpha3	NC_001330	isolate:wildtype	-	6087 nt	10	1	bacteria	05/13/1992	04/17/2009	
Enterobacteria phage cdtI	NC_009514	-	-	47021 nt	60	-	bacteria	06/05/2007	03/29/2016	
Enterobacteria phage fd	NC_025824	strain:478	-	6408 nt	10	-	bacteria	12/09/2014	12/09/2014	
Enterobacteria phage fiAA91-ss	NC_022750	-	-	33628 nt	40	-	bacteria	11/06/2013	12/05/2013	
Enterobacteria phage mEp043 c-1	NC_019706	-	-	42780 nt	69	-	bacteria	12/07/2012	12/07/2012	
Enterobacteria phage mEp235	NC_019708	-	-	37595 nt	61	-	bacteria	12/07/2012	12/07/2012	
Enterobacteria phage mEp237	NC_019704	-	-	44375 nt	63	-	bacteria	12/31/2012	12/31/2012	
Enterobacteria phage mEp460	NC_019716	-	-	44510 nt	59	-	bacteria	12/07/2012	12/07/2012	
Enterobacteria phage mEpX1	NC_019709	-	-	41567 nt	66	-	bacteria	12/07/2012	12/07/2012	
Enterobacteria phage mEpX2	NC_019705	-	-	38759 nt	67	-	bacteria	12/07/2012	12/07/2012	
Enterobacteria phage phi80	NC_021190	-	-	46150 nt	63	-	bacteria	05/28/2015	05/28/2015	
Enterobacteria phage phi92	NC_023693	strain:ATCC 35860-B1	-	148612 nt	250	-	bacteria	07/16/2012	01/15/2016	
Enterobacteria phage phiEcoM-GJ1	NC_010106	-	-	52975 nt	75	-	bacteria	12/04/2007	01/18/2008	
Enterobacteria phage phiP27	NC_003356	-	-	42575 nt	58	-	bacteria	01/12/2002	07/16/2008	
Enterobacteria phage phiX174 sensu lato	NC_001422	-	-	5386 nt	11	19	bacteria	04/28/1993	02/10/2015	
Enterobacteria phage vB_EcoM_VR5	NC_028881	-	-	170473 nt	271	-	bacteria	01/05/2016	01/05/2016	
Enterobacteria phage vB_EcoP_ACG-C91	NC_019403	strain:vB_EcoP_C91	-	43731 nt	56	-	bacteria	11/13/2012	11/13/2012	
Enterobacteria phage vB_EcoS_NBD2	NC_031050	-	-	51802 nt	87	-	bacteria	09/23/2016	09/23/2016	
Enterobacteria phage vB_EcoS_Rogue1	NC_019718	-	-	45805 nt	74	-	bacteria	12/07/2012	12/07/2012	
Enterobacteria phage vB_KleM-RaK2	NC_019526	-	-	345809 nt	534	-	bacteria	11/21/2012	11/21/2012	
Enterobacterial phage mEp213	NC_019720	-	-	44120 nt	74	-	bacteria	12/07/2012	12/07/2012	
Enterobacterial phage mEp234	NC_019715	-	-	39578 nt	61	-	bacteria	12/07/2012	12/07/2012	
Enterobacterial phage mEp390	NC_019721	-	-	40029 nt	59	-	bacteria	12/07/2012	12/07/2012	
Enterobacteriaphage UAB_Phi87	NC_027360	-	-	87603 nt	147	-	bacteria	06/24/2015	06/24/2015	
Enterococcus phage BC611	NC_018086	-	-	53996 nt	87	-	bacteria	06/27/2012	02/05/2013	
Enterococcus phage ECP3	NC_027335	isolate:ECP3	-	145518 nt	220	-	bacteria	06/24/2015	06/24/2015	
Enterococcus phage EF62phi	-	-	2	61010 nt	96	-	bacteria	04/18/2012	02/04/2014	
          Enterococcus phage EF62phi     (30505 nt)     NC_017732     proteins: 48
          Enterococcus phage EF62phi     (30505 nt)     NC_017732     proteins: 48
Enterococcus phage EFAP-1	NC_012419	-	-	21115 nt	24	-	bacteria	03/24/2009	03/24/2009	
Enterococcus phage EFC-1	NC_025453	-	-	40286 nt	59	-	bacteria	11/25/2014	11/25/2014	
Enterococcus phage EFDG1	NC_029009	-	-	147589 nt	210	-	bacteria	01/05/2016	01/05/2016	
Enterococcus phage EFLK1	NC_029026	-	-	130952 nt	209	-	bacteria	01/05/2016	01/05/2016	
Enterococcus phage EFRM31	NC_015270	-	-	16945 nt	23	-	bacteria	03/29/2011	03/29/2011	
Enterococcus phage Ec-ZZ2	NC_031260	-	-	41170 nt	59	-	bacteria	09/27/2016	09/27/2016	
Enterococcus phage EfaCPT1	NC_025465	-	-	40923 nt	69	-	bacteria	11/10/2014	11/10/2014	
Enterococcus phage IME-EF4	NC_023551	-	-	40692 nt	60	-	bacteria	03/04/2014	03/04/2014	
Enterococcus phage IME-EFm1	NC_024356	-	-	42597 nt	70	-	bacteria	06/24/2014	11/21/2014	
Enterococcus phage IME-EFm5	NC_028826	-	-	42265 nt	70	-	bacteria	01/05/2016	01/05/2016	
Enterococcus phage IME_EF3	NC_023595	-	-	41687 nt	69	-	bacteria	03/02/2014	11/06/2014	
Enterococcus phage SANTOR1	NC_031051	-	-	37933 nt	60	-	bacteria	09/23/2016	09/23/2016	
Enterococcus phage VD13	NC_024212	strain:VD13	-	55726 nt	88	1	bacteria	06/02/2014	06/02/2014	
Enterococcus phage phiEF24C	NC_009904	strain:phiEF24C	-	142072 nt	221	1	bacteria	10/10/2007	05/07/2009	
